run,burned_cells
run_0950,11
run_0951,4
run_0952,2
run_0953,8
run_0954,6
run_0955,1
run_0956,36
run_0957,1
run_0958,136
run_0959,1
run_0960,1
run_0961,5
run_0962,111
run_0963,1
run_0964,90
run_0965,55
run_0966,16
run_0967,1
run_0968,1
run_0969,1
run_0970,5
run_0971,1
run_0972,6
run_0973,2
run_0974,3
run_0975,1
run_0976,57
run_0977,5
run_0978,148
run_0979,1
run_0980,1
run_0981,1
run_0982,1
run_0983,2
run_0984,1
run_0985,64
run_0986,1
run_0987,111
run_0988,11
run_0989,1
run_0990,1
run_0991,10
run_0992,1
run_0993,1
run_0994,8
run_0995,58
run_0996,53
run_0997,1
run_0998,6
run_0999,5
run_1000,4
