run_id,weather_index,scenario,fire_number,fire_year,fire_cause,ignition_lat,ignition_lon,cell_id
109,1,404_P90_20180820_24H_PREVAILING,109,,,49.52843072866824,-117.53102805745986,251639
110,1,404_P90_20180820_24H_PREVAILING,110,,,49.537362748928615,-117.5293801298502,228143
111,1,404_P90_20180820_24H_PREVAILING,111,,,49.54629462846066,-117.52773156385993,204647
112,1,404_P90_20180820_24H_PREVAILING,112,,,49.55522636741265,-117.52608235911988,180439
113,1,404_P90_20180820_24H_PREVAILING,113,,,49.56415796593318,-117.5244325152605,156943
114,1,404_P90_20180820_24H_PREVAILING,114,,,49.57308942417073,-117.52278203191203,132735
115,1,404_P90_20180820_24H_PREVAILING,115,,,49.582020742273826,-117.52113090870435,109239
116,1,404_P90_20180820_24H_PREVAILING,116,,,49.590951920391134,-117.51947914526713,86454
117,1,404_P90_20180820_24H_PREVAILING,117,,,49.5998829586713,-117.51782674122968,61535
118,1,404_P90_20180820_24H_PREVAILING,118,,,49.608813857263115,-117.5161736962211,38039
119,1,404_P90_20180820_24H_PREVAILING,119,,,49.43803013270549,-117.53379219305992,488056
120,1,404_P90_20180820_24H_PREVAILING,120,,,49.446963375187785,-117.53214802303059,465272
121,1,404_P90_20180820_24H_PREVAILING,121,,,49.45589647536669,-117.53050321731936,441776
122,1,404_P90_20180820_24H_PREVAILING,122,,,49.464829433389966,-117.52885777555933,418280
123,1,404_P90_20180820_24H_PREVAILING,123,,,49.473762249405624,-117.52721169738324,394072
124,1,404_P90_20180820_24H_PREVAILING,124,,,49.482694923561695,-117.52556498242357,370576
125,1,404_P90_20180820_24H_PREVAILING,125,,,49.49162745600599,-117.52391763031254,346368
126,1,404_P90_20180820_24H_PREVAILING,126,,,49.500559846886674,-117.52226964068204,322872
127,1,404_P90_20180820_24H_PREVAILING,127,,,49.50949209635184,-117.52062101316376,299376
128,1,404_P90_20180820_24H_PREVAILING,128,,,49.51842420454968,-117.518971747389,275168
129,1,404_P90_20180820_24H_PREVAILING,129,,,49.52735617162839,-117.51732184298888,251672
130,1,404_P90_20180820_24H_PREVAILING,130,,,49.53628799773619,-117.51567129959416,228176
131,1,404_P90_20180820_24H_PREVAILING,131,,,49.54521968302146,-117.51402011683537,203968
132,1,404_P90_20180820_24H_PREVAILING,132,,,49.55415122763252,-117.51236829434272,180472
133,1,404_P90_20180820_24H_PREVAILING,133,,,49.563082631717805,-117.51071583174614,156976
134,1,404_P90_20180820_24H_PREVAILING,134,,,49.572013895425705,-117.5090627286753,133480
135,1,404_P90_20180820_24H_PREVAILING,135,,,49.580945018904856,-117.50740898475959,109272
136,1,404_P90_20180820_24H_PREVAILING,136,,,49.58987600230373,-117.50575459962806,85776
137,1,404_P90_20180820_24H_PREVAILING,137,,,49.59880684577092,-117.50409957290954,61568
138,1,404_P90_20180820_24H_PREVAILING,138,,,49.60773754945519,-117.50244390423255,38072
139,1,404_P90_20180820_24H_PREVAILING,139,,,49.4458888330266,-117.51846594213859,465306
140,1,404_P90_20180820_24H_PREVAILING,140,,,49.454821739597726,-117.5168185298364,442521
141,1,404_P90_20180820_24H_PREVAILING,141,,,49.463754503919624,-117.51517048050707,417601
142,1,404_P90_20180820_24H_PREVAILING,142,,,49.472687126139995,-117.51352179378276,394106
143,1,404_P90_20180820_24H_PREVAILING,143,,,49.481619606406845,-117.5118724692955,370609
144,1,404_P90_20180820_24H_PREVAILING,144,,,49.490551944868045,-117.51022250667687,347114
145,1,404_P90_20180820_24H_PREVAILING,145,,,49.499484141671694,-117.50857190555831,322193
146,1,404_P90_20180820_24H_PREVAILING,146,,,49.50841619696577,-117.50692066557089,299409
147,1,404_P90_20180820_24H_PREVAILING,147,,,49.51734811089833,-117.50526878634541,275914
148,1,404_P90_20180820_24H_PREVAILING,148,,,49.52627988361768,-117.50361626751243,251706
149,1,404_P90_20180820_24H_PREVAILING,149,,,49.53521151527192,-117.50196310870217,228210
150,1,404_P90_20180820_24H_PREVAILING,150,,,49.54414300600918,-117.5003093095446,204714
151,1,404_P90_20180820_24H_PREVAILING,151,,,49.55307435597802,-117.49865486966941,180506
152,1,404_P90_20180820_24H_PREVAILING,152,,,49.56200556532656,-117.49699978870599,157009
153,1,404_P90_20180820_24H_PREVAILING,153,,,49.57093663420331,-117.49534406628342,133514
154,1,404_P90_20180820_24H_PREVAILING,154,,,49.57986756275671,-117.49368770203057,109306
155,1,404_P90_20180820_24H_PREVAILING,155,,,49.588798351135296,-117.49203069557596,85810
156,1,404_P90_20180820_24H_PREVAILING,156,,,49.597728999487465,-117.49037304654784,62314
157,1,404_P90_20180820_24H_PREVAILING,157,,,49.462677845693804,-117.50148382284968,418347
158,1,404_P90_20180820_24H_PREVAILING,158,,,49.471610273818925,-117.49983252794524,394139
159,1,404_P90_20180820_24H_PREVAILING,159,,,49.48054255989647,-117.4981805942987,370643
160,1,404_P90_20180820_24H_PREVAILING,160,,,49.48947470407434,-117.49652802154111,347147
161,1,404_P90_20180820_24H_PREVAILING,161,,,49.498406706500575,-117.4948748093034,322939
162,1,404_P90_20180820_24H_PREVAILING,162,,,49.507338567322975,-117.49322095721602,299443
163,1,404_P90_20180820_24H_PREVAILING,163,,,49.516270286689625,-117.49156646490928,275947
164,1,404_P90_20180820_24H_PREVAILING,164,,,49.52520186474875,-117.4899113320132,251739
165,1,404_P90_20180820_24H_PREVAILING,165,,,49.534133301648374,-117.48825555815743,228243
166,1,404_P90_20180820_24H_PREVAILING,166,,,49.543064597536734,-117.48659914297144,204747
