GRID_ID,GRID_X,GRID_Y,SPACING_M,longitude,latitude
202,1617000.0,545000.0,1000,-117.45086284280501,49.585555000276216
203,1618000.0,532000.0,1000,-117.45876856680033,49.46836934364737
204,1618000.0,533000.0,1000,-117.4571088078914,49.47730104535722
205,1618000.0,534000.0,1000,-117.45544840693412,49.486232604884314
206,1618000.0,535000.0,1000,-117.45378736355771,49.49516402237648
207,1618000.0,536000.0,1000,-117.45212567739108,49.50409529798145
208,1618000.0,537000.0,1000,-117.45046334806285,49.51302643184717
209,1618000.0,538000.0,1000,-117.44880037520142,49.52195742412151
210,1618000.0,539000.0,1000,-117.44713675843481,49.53088827495241
211,1618000.0,540000.0,1000,-117.44547249739085,49.53981898448779
212,1618000.0,541000.0,1000,-117.443807591697,49.548749552875876
213,1618000.0,542000.0,1000,-117.4421420409805,49.55767998026465
214,1618000.0,543000.0,1000,-117.44047584486829,49.5666102668023
215,1618000.0,544000.0,1000,-117.43880900298697,49.575540412636975
216,1619000.0,534000.0,1000,-117.4417564855974,49.48514844659405
217,1619000.0,535000.0,1000,-117.44009283258286,49.4940796685079
218,1619000.0,536000.0,1000,-117.43842853579845,49.50301074843989
219,1619000.0,537000.0,1000,-117.43676359487232,49.51194168653776
220,1619000.0,538000.0,1000,-117.43509800943224,49.520872482949365
221,1619000.0,539000.0,1000,-117.4334317791057,49.5298031378226
222,1619000.0,540000.0,1000,-117.43176490352005,49.53873365130537
223,1619000.0,541000.0,1000,-117.43009738230214,49.54766402354572
224,1619000.0,542000.0,1000,-117.42842921507867,49.556594254691674
225,1619000.0,543000.0,1000,-117.42676040147606,49.56552434489129
226,1620000.0,534000.0,1000,-117.42806520765885,49.48406255921213
227,1620000.0,535000.0,1000,-117.4263989453778,49.49299358524772
228,1620000.0,536000.0,1000,-117.42473203834754,49.50192446920649
229,1620000.0,537000.0,1000,-117.42306448619564,49.5108552112362
230,1620000.0,538000.0,1000,-117.42139628854939,49.519785811484645
231,1620000.0,539000.0,1000,-117.41972744503575,49.52871627009967
232,1620000.0,540000.0,1000,-117.41805795528138,49.53764658722909
233,1620000.0,541000.0,1000,-117.41638781891277,49.5465767630209
234,1620000.0,542000.0,1000,-117.41471703555598,49.55550679762303
235,1621000.0,534000.0,1000,-117.41437457409728,49.48297494285192
236,1621000.0,535000.0,1000,-117.41270570292191,49.491905772709245
237,1621000.0,536000.0,1000,-117.41103618601822,49.500836460394765
238,1621000.0,537000.0,1000,-117.4093660230133,49.50976700605611
239,1621000.0,538000.0,1000,-117.40769521353388,49.51869740984101
240,1621000.0,539000.0,1000,-117.40602375720641,49.527627671897314
241,1621000.0,540000.0,1000,-117.40435165365696,49.536557792372804
242,1621000.0,541000.0,1000,-117.40267890251148,49.54548777141522
243,1621000.0,542000.0,1000,-117.40100550339552,49.554417609172695
244,1622000.0,535000.0,1000,-117.3990131061942,49.49081623100606
245,1622000.0,536000.0,1000,-117.39734097979012,49.49974672211832
246,1622000.0,537000.0,1000,-117.39566820630546,49.50867707111115
247,1622000.0,538000.0,1000,-117.39399478536644,49.517607278132324
248,1622000.0,539000.0,1000,-117.39232071659893,49.526537343329444
249,1622000.0,540000.0,1000,-117.39064599962857,49.535467266850354
250,1622000.0,541000.0,1000,-117.38897063408065,49.54439704884278
251,1623000.0,534000.0,1000,-117.38699524401895,49.480794523650665
252,1623000.0,535000.0,1000,-117.38532115617348,49.489724960251976
253,1623000.0,536000.0,1000,-117.38364642064249,49.49865525449104
254,1623000.0,537000.0,1000,-117.38197103705191,49.50758540651526
255,1623000.0,538000.0,1000,-117.3802950050274,49.51651541647247
256,1624000.0,535000.0,1000,-117.37162985383826,49.48863196056084
257,1624000.0,536000.0,1000,-117.36995250955444,49.49756205762688
